miasto,numer_pocztowy,ulica,numer_domu
Warszawa,00-124,Marszałkowska,12
Kraków,31-015,Floriańska,5
Łódź,90-002,Piotrkowska,142
Wrocław,50-010,Świdnicka,22
Poznań,61-831,Święty Marcin,45
Gdańsk,80-831,Długa,12
Szczecin,70-412,Wojska Polskiego,8
Bydgoszcz,85-005,Gdańska,31
Lublin,20-002,Krakowskie Przedmieście,54
Białystok,15-424,Lipowa,10
Katowice,40-001,Korfantego,3
Gdynia,81-350,Świętojańska,11
Częstochowa,42-200,Aleja Najświętszej Maryi Panny,42
Radom,26-600,Żeromskiego,15
Sosnowiec,41-200,3 Maja,2
Toruń,87-100,Szeroka,21
Kielce,25-001,Sienkiewicza,33
Rzeszów,35-001,Kościuszki,4
Gliwice,44-100,Zwycięstwa,18
Zabrze,41-800,Wolności,124
Olsztyn,10-001,Prosta,5
Bielsko-Biała,43-300,11 Listopada,28
Bytom,41-900,Dworcowa,10
Ruda Śląska,41-700,Niedurnego,44
Rybnik,44-200,Sobieskiego,2
Tychy,43-100,Bielska,15
Gorzów Wielkopolski,66-400,Sikorskiego,12
Elbląg,82-300,Stary Rynek,4
Płock,09-400,Tumska,8
Opole,45-001,Krakowska,22
Warszawa,02-512,Puławska,122
Kraków,30-033,Królewska,15
Łódź,91-415,Zgierska,88
Wrocław,53-601,Legnicka,102
Poznań,60-101,Głogowska,12
Gdańsk,80-210,Grunwaldzka,45
Szczecin,71-124,Krzywoustego,3
Bydgoszcz,85-644,Fordańska,112
Lublin,20-400,Narutowicza,19
Białystok,15-001,Sienkiewicza,4
Katowice,40-123,Mariacka,1
Gdynia,81-222,Morska,154
Częstochowa,42-217,Dąbrowskiego,3
Radom,26-610,Struga,42
Sosnowiec,41-219,Gospodarcza,5
Toruń,87-114,Grudziądzka,88
Kielce,25-300,Warszawska,12
Rzeszów,35-211,Piłsudskiego,33
Gliwice,44-121,Pszczyńska,10
Zabrze,41-806,Roosevelta,81
Olsztyn,10-123,Pieniężnego,14
Bielsko-Biała,43-309,Partyzantów,2
Bytom,41-902,Jagiellońska,19
Ruda Śląska,41-710,Kłodnicka,5
Rybnik,44-210,Raciborska,12
Tychy,43-110,Niepodległości,1
Gorzów Wielkopolski,66-410,Chrobrego,22
Elbląg,82-310,Grunwaldzka,122
Płock,09-410,Wyszogrodzka,15
Opole,45-124,Ozimska,44
Warszawa,01-234,Górczewska,8
Kraków,31-200,Opolska,12
Łódź,92-101,Piłsudskiego,10
Wrocław,51-114,Obornicka,3
Poznań,61-124,Półwiejska,19
Gdańsk,80-401,Hallera,122
Szczecin,70-500,Wały Chrobrego,2
Bydgoszcz,85-101,Jagiellońska,15
Lublin,20-601,Filaretów,4
Białystok,15-213,Mickiewicza,22
Katowice,40-500,Kościuszki,122
Gdynia,81-401,Zwycięstwa,8
Częstochowa,42-202,Kopernika,15
Radom,26-601,Chrobrego,33
Sosnowiec,41-205,Piłsudskiego,12
Toruń,87-101,Mickiewicza,54
Kielce,25-501,Manifestu Lipcowego,10
Rzeszów,35-010,Cieplińskiego,2
Gliwice,44-102,Rynek,1
Zabrze,41-801,3 Maja,15
Olsztyn,10-501,Kościuszki,22
Bielsko-Biała,43-301,Żywiecka,112
Bytom,41-901,Wrocławska,45
Ruda Śląska,41-701,1 Maja,102
Rybnik,44-201,Kościuszki,12
Tychy,43-101,Grota-Roweckiego,5
Gorzów Wielkopolski,66-401,Piłsudskiego,3
Elbląg,82-301,Królewiecka,19
Płock,09-401,Królewiecka,44
Opole,45-050,Reymonta,8
Wałbrzych,58-300,Główna,15
Zielona Góra,65-001,Westerplatte,2
Tarnów,33-100,Krakowska,122
Chorzów,41-500,Wolności,88
Koszalin,75-001,Zwycięstwa,10
